id,title,file_id,price
5644,Lazy One Toddler Tee Shirt Stripes Brown Pink White Horse ,5644,55.86
14077,Roxy Kids Sz 5 Shirts Tops warm day Doggie,14077,71.74
14869,NWT Girls t-shirt large top 10-12 short sleeve gray with LOVE Old Navy stretchy,14869,14.87
7918,Nike Girl's Graphic Athletic  Short Sleeve T-Shirt NWT  Size 7 Hyper Charged,7918,56.05
694,Twin girls Old Navy PEACE SIGNS peach and aqua tops shirts NWT 5,694,55.86
10360,Rockets Of Awesome Girl's Rhinestone Star Top SD8 Eclipse Size 4/5 NWT,10360,33.59
9552,Girls Pink.multi Under Armour  Logo Top Sz 6x NWT ,9552,69.13
13987,Browning Girls Brown with Pink buck Tee Shirt new with Tags multi Sizes,13987,37.33
9385,NWT Girl's Disney Minnie Mouse Black Lace Short Sleeved w/ necklace design,9385,41.07
5430,Disney Store SISTERS FOREVER  Anna & Elsa Skating Short Sleeved BN Size 5/6,5430,44.8
3158,SHOPKINS TOP T SHIRT GIRLS - SPRINKLE SQUAD STAR PINK  SZ 6X NEW,3158,56.01
11832,CONVERSE ALL STAR YOUTH GIRLS SHORT SLEEVE PURPLE/ORANGE T-SHIRT SZ XL 13-15 YRS,11832,49.66
13387,"ROXY GIRL Size XL 14  White Tee ""HEAR IT NOW"" NWT",13387,37.25
474,*NWT GYMBOREE* Girls CIAO PUPPY White City Scooter Tee Top Size 5,474,60.91
12823,OshKosh Original Girls Patriotic Happy And Free Shirt Red Glitter 8 NWT!,12823,33.59
9399,Art Class Girls Size XL Short Sleeve Graphic Tee Shirt Tie or Shark Bite Yellow ,9399,44.65
14783,NWT ENERGY ZONE Aqua & Black SHORT SLEEVE Pullover Size 6-6X Girl,14783,18.65
2713,NWT Girls Justice Black Short Sleeve Top w/Different Pictures,2713,56.01
7624,NWT Girl sz 16 1/2 SHIRT SO brand stretch White BLACK PALM TREES,7624,44.84
8657,GYMBOREE BONJOUR BRIGHT BLACK w/ BIRD Tres Chic S/S TEE 5 6 7 8 10 NWT,8657,30.79
14796,"So Jenni Purple ""Born 2-B a Star"" Girls T-Shirt size 6 NWT G82606",14796,37.33
8336,NWT Lularoe Multi Color Print Bianka Open Front Sz 3 (L/XL),8336,56.01
128,"~NEW~ ""BEST BIG SISTER #1"" Girls Graphic Shirt 4 4T XS 5-6 Small 7-8 Medium GIFT",128,69.47
2620,NWT Athlete Girls Heather Gray Cap Sleeve Tie Front Won't Stop Tee sz XS 6,2620,74.73
